model,topic,topic_strength,example_complaint
LDA,1,0.9898664169779154,"Companies involved in filing this fraudulent claim against me twice : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  Amount of fraudulent claim : XXXX On XX/XX/XXXX and Individual : XXXX XXXX fraudulent used my SSN to obtain cellular Service from XXXX XXXX in XXXX, AL. Her birthday, address and name did not match mine, which leads me to believe that no one asked to see her identification before granting her this fraudulent account. In XXXX I joined XXXX XXXX and noticed a collection had been filed against me by XXXX XXXX XXXX. I was successful in removing this from my bureau at this time. However, they filed the same claim against me again in XX/XX/XXXX through XXXX  XXXX  through XXXX XXXX  XXXX  again i was made aware of this through XXXX XXXX. I am in the process of removing this claim again. So far, I have had to verify where I lived in XXXX, file a police report, and provide them with a copy of my birth certificate and driver 's license. I also had to provide them with my address, an address i have lived at for 34 years. Since providing them with my address they are now sending correspondence to XXXX XXXX, ( the person that used my SSN # to obtain the account placed into collection ) to my address. I did not open the correspondence and placed return to sender no one lives here by this name on the envelope. Surely, there are steps i can take to stop them from continuing to ruin my good name and credit. I am a XXXX XXXX XXXX woman, working as a real estate agent during a pandemic as an essential worker, caring for an XXXX XXXX XXXX mother, while maintaining and running my home. This is beginning to wear on me. I need help. Please advise of my rights and provide me with any information you can to make these people leave me alone. 

Thank you,"
LDA,1,0.9862696126651462,"Incorrect and unauthorized changes on XXXX account. Spoke to multiple different people on different occasions to follow up on status, theyd all say that the account was sent to escalation department to audit and investigate and someone will contact you to discuss. Never heard anything from anyone, this happened repeatedly. 
There was a lot of miscommunication due to language barriers and non-stop transferring of calls along with disconnects aka dropped calls. Account was closed to eliminate future discrepancies. I would greatly appreciate this account be investigated and audited as there is numerous inaccuracies and unexplainable charges, even XXXX management could not figure it out. I was continuously being told that the account was sent to escalations to investigate. I requested an itemized statement of account and explanation of charges. As of today I have not received any information provided by XXXX, no outstanding balanced provided, no itemized state or explanation received. XXXX needs to be investigated upon, there is way too much unexplained charges and discrepancies."
LDA,1,0.985706825118739,"XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXX ( XXXX ) XXXX Requested On : XX/XX/XXXX/ last update XX/XX/XXXX bought the {$170.00} Original Creditor : XXXX XXXX ( Cable/Cellular ) from this other collection co : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX , XXXX XXXX ( XXXX ) XXXX Requested On : XX/XX/XXXX Permissible Purpose : COLLECTION : this alleged account has been past from one COLLECTION co 's to another for the last 7 to 8 years I have never had an account with XXXX XXXX nor have I never received and invoice on what the XXXX is for or any breakdown- I have been pushed to the max and will start treatment theses COLLECTION Co as a Hostile attacks on my personal Character and my personal financial goals - as of yesterday I receive notice from two Credit cards- that I have had open with great out standing credit starting from XX/XX/XXXX : this notice was that my FICA had falling over night fromXXXX to XXXX nothing has changed on my credit reports from all three over the last year - XXXX XXXX XXXX has been calling for 6 /7 months I have informed them to cease and assist- however they continue to call and view my reports on all three credit reporting co. every month as XXXX was the primary reporter by my Credit cards I called then and pulled my report - I asked them why did my FICA dropped 100 point over night - the person XXXX said I can tell you that without you payment money first- I said what this was a Negv report and they should give me every thing that has cursed my FICA to fall 100 point instead of helping me Collection companies can report anything they want there's nothing I can do about it- but he will be happy to file a dispute I told him I have filed many disputed about this account and it gets sold off to a new CO and it start all over again theses actions are considered bad faith and Federal intervention should be taking : I could pay this at any time but I will never give in to theses Fraudulent COLLECTION co 's"
LDA,2,0.9932633902077128,"In XX/XX/XXXX, As a ten year XXXX XXXX customer, I underwent a phone upgrade while adding an additional line to my wireless service. During the process, the free phone purchase was applied to the incorrect line and required XXXX customer service to correct the service lines. Unfortunately, a supposed unexplainable error occurred impacting my account and required numerous finance technicians to correct the matter which unfortunately resulted in major account discrepancies and a sudden balance of XXXX which I was initially informed should be offset or corrected in the upcoming billing cycle. As a long time XXXX customer, I had no reason to question or distrust this answer. 

it should be noted that XXXX policy requires accounts to be current before processing any upgrades of new line activations. If such balance existed on my account, the upgrade would not have been permitted. 

Through numerous attempts to correct the discrepancy, XXXX representatives were unable to identify the error, the account was somehow modified with a XXXX balance for illegitimate charges including for the remaining lease of a phone which XXXX required be paid in full in order to upgrade and was done so, yet the next bill reflected a balance for the cost of two phones simultaneously tied to one individual phone line, a circumstance not allowable per XXXX policy. Remaining balance for the remaining lease of the phone was paid in full with cash in store while the new phone was free as part of a promotion with activation of a new line. This was the arrangement I signed and paid for, yet modified during the correction of the phone lines. 

Numerous attempts to address the issue have been made, but XXXX representatives have been unable to understand the issue as my entire account was modified unexplainably and resulting in account changes that are incorrect, exploitive and fraudulent. 

A XXXX balance is unrealistic as XXXX only allowed a XXXX credit limit, a XXXX balance would not have been approved under any circumstance and would have been disconnected at the XXXX mark, but in no circumstance would XXXX have allowed me to accumulate a bill that high, the charges were sudden, erroneous and illegitimate and are being pursued fraudulently. 

As a result of the inability to understand and correct the issue, I was stuck with a XXXX balance and service termination due to my inability and unwillingness to pay these illegitimate charges. XXXX has forwarded this item to collections, and despite numerous requests for validation of the amount and dispute, I am yet to receive any logical explanation or documentation substantiating the issue and have been significantly impacted from a credit standpoint as well as hindering my ability to obtain wireless service from any provider."
LDA,2,0.9918196574505609,"During my time as an employee for XXXX, I was encouraged to open a Dealer or Concession line as my business contact number. I successfully opened an account and paid monthly according to my contract. Unfortunately that phone was stolen/lost by a fellow employee and I had documentation from XXXX to verify, it was ultimately reported as lost to the company and my superiors in a timely manner. I was told by my manager to open another line, as I would n't be eligible for employee discounts if I fully cancelled my original account for 3 to 6 months. I was instructed to use my social security number to open another type of employee discount account and did so without issue. I used this new account until I parted ways with the company. I was informed that all employee accounts would be terminated upon my leaving and that all devices had to be returned. I left my phone at my store location with my manager and called into employee care to verify the information he had given me, which they did. 

Nearly a year later I requested a credit check and saw that I had been sent to collections over a debt with XXXX. When I called in to see where the debt had originated I was bounced back and forth between XXXX and XXXX as neither said they could help me ; XXXX XXXX because I was a consumer, and XXXX because I had been an employee for the duration of my account. 

My current position allowed me to open an employee line with XXXX although they are NOT my employer, and I used this opportunity to begin a dialogue with someone who could possibly work on clearing up this debt from within the company. After weeks of telephone and email correspondence with the gentleman, I was offered the ability to pay off the debt and then be immediately reimbursed the money if I opened another account with XXXX. I felt immensely pressured to take the offer to save my credit but ultimately decided to pass, as I was n't comfortable being forced into signing another binding contract with the company to erase a debt that should never have occurred. 

Throughout the duration of this, going on two years, I have been called repeatedly by multiple Debt Collection Agencies each time the "" debt '' is sold off to a new company. I 've been called at work, late in the evening, inappropriately early in the mornings, and now XXXX prompting me to submit a complaint XXXX a NEW company has begun calling my family members in other states."
LDA,2,0.9914896614951377,"i had an account with XXXX I opened with my daughter in XX/XX/XXXX. I purchased XXXX phones. In XX/XX/XXXX, I paid off the phones and cancelled my service and left my daughter on the T-mobile account. She was paying the bill. The bills were forwarded to HER home in N.C. and she was paying them. Around XX/XX/XXXX, my daughter purchased a 2 YEAR contract w/an XXXX. I was contacted when she wanted to purchase the XXXX and I told XXXX I was no longer the owner of the account again. They again removed me from the account, approved my daughter for the XXXX and I thought that was the end of it. Then I stopped receiving my mail all together, and discovered a change of address had been put in for me so I called the Post Office and had my mail switched back to my home and I discovered XXXX was charging me for 'something ', so I called and told them I did n't have an account. They said they fix it and again I thought they 'd figure it out. I confirmed with my daughter that she was paying her bill because I continued to get bills saying my account was over due, but she assured me she was paying, so I ignored it, and figured we were just being double billed. Finally in XX/XX/XXXX I received a collection notice, when I called I was told it was for an XXXX. It turns out that XXXX was billing me for her XXXX and billing my daughter only for phone service. They were trying to hold me accountable for her purchasing the phone but were billing her for the monthly service. I called several times with my contract showing I never authorized anyone other than myself to purchase or use my account. While this point is moot as I cancelled my account in XX/XX/XXXX. There are numerous calls from me cancelling the account, and my daughter opening an account. The account my daughter opened was a special account that allowed for a two year contract with the purchase of an iphone. XXXX used my credit to give her an XXXX. I spoke with several representative there, and my daughter does n't have a problem paying for the XXXX under the terms she thought she was agreeing to, i..e a two year plan which included the price of an XXXX. I am not responsible. Further I should n't be in collections. I called this evening after having been promised that I would be removed from collections, the outstanding balance would be transferred back to my daughter 's account, she could pay over the term of her contract as it was stated and that my credit report would be corrected. Now, I 'm being told by XXXX that they ca n't do it. It 's been too long they are n't resposible."
LDA,3,0.9890177297805328,"On XX/XX/XXXX, I was notified by XXXX from my XXXX account that a collection debt was flagged. XXXX/XXXX and the collection agency they use XXXX XXXX XXXX XXXX ( ERC ) put a debt collection on my credit report and I never received a bill. This charge is from XX/XX/XXXX! I paid a previous balance in XX/XX/XXXX and the debt was paid. They also had my current address and current phone number which has not changed. I called XXXX/XXXX and have called the collection agency and complained about this. They are currently saying I owe a debt of XXXX which I do NOT. We have also learned the reason why I owe this is because when I paid for the service back in XX/XX/XXXX at one apartment and then had to move into another apartment 6 weeks later and transferred the service, they did not transfer the ENTIRE service! They have admitted the billing/ accounting error and have still demanded I pay the XXXX. After numerous complaints and numerous back and forth phone calls, a lady from their administration service has told me the bill is valid. After researching on this and I demanded them to send me a copy of the contract and paperwork, they have told me they can not produce it! So I am being told by these 2 ridiculous companies that I owe a debt of XXXX with no contract or paperwork and no previous bills ... When I paid the debts in XX/XX/XXXX, nothing was ever stated to me nor mailed. One more thing, both debts on my XXXX  credit report states PAID and CLOSED. So after reading this situation, please let me know if you can help me. Today during a conversation with XXXX/XXXX, they told me that the debt collection was through XXXX, the debt that was reported on my credit was through ERC. XXXX XXXX XXXX XXXX. I have also disputed this debt with XXXX, XXXX, and XXXX. I also have some screenshots saved and a few conversations recorded from XXXX/XXXX, and yes they were told they were being recorded. Thank you."
LDA,3,0.9889550808477937,"I have reached out to XXXX and Enhanced Recovery on multiple occasions, through several different avenues, throughout this past year in attempt to dispute the following information that appears on my XXXX or XXXX and/or XXXX XXXX report ( XXXX ) : * Date of Last Activity * Date Reported * Date Opened * Closed Date * Last Payment However, this inaccurate information is still being verified and reported by XXXX and the credit bureaus each month. The information can not be both valid and different. Each bureau is reporting different data in each category. I request the XXXX account XXXX be removed immediately from my credit report with XXXX XXXX XXXX XXXX and XXXX XXXX XXXX is in direct violation of my rights under FCRA by reporting inaccurately. 

Also when attempting to make contact in order to resolve my concern, XXXX refuses to assist and forwards me to Enhanced Recovery Company. When I contact Enhance Recovery, they inform me that XXXX is reporting to credit bureaus not ERC, therefor they can not assist with the inaccurate reporting. An ERC representative on the phone informed me they do not report data to credit agencies, they collect only and the information being provided is coming from XXXX XXXX. I have been sent back and forth between the two companies with no resolve. 

I can not verify or validate any of the information on my credit report concerning XXXX. I have contacted XXXX on several occasions but XXXX refuses to report accurately. 

I request account XXXX be deleted immediately from my credit report."
LDA,3,0.9880513723124001,"I have been monitoring my credit report and scores continuously for the last two years. I noticed in XX/XX/XXXX that XXXX accounts XXXX under ENHANCED RECOVERY COMPANY ( XXXX from XXXX XXXX XXXX and the other from XXXX XXXX ) were on all XXXX of my credit report in collection status. This has dramatically declined my credit, so I started to investigate these alleged accounts. They claim the first account XXXX XXXX XXXX XXXX ) was placed for collecton on XX/XX/XXXX. They claim the second account ( XXXX XXXX ) was placed for collection on XX/XX/XXXX. I have lived with relatives, and have NOT opened any cable/cellular accounts in over 7 years. So I started the dispute process with all the credit bureaus.I disputed in XX/XX/XXXX, no changes were made. I disputed again, I got the next results on XX/XX/XXXX, still ENHANCED RECOVERY COMPANY did not remove or validate these alleged accounts The only change made was the DATE UPDATED date was updated to the day they received the dispute. Next I started working with a credit repair company, they sent out another round of disputes, I recieved the dispute results on XX/XX/XXXX. Unfortunately, ENHANCED RECOVERY COMPANY still did not validate the accounts or remove them and no changes were made. Now I am taking it a step farther. I am sending a certified debt validation letter to their company, of which I will keep the receipt. I will also be attaching the debt validation letter, and also the copies of the dispute investigation results over the past few months. I have also contacted the XXXX and your organization as of now. Please assist me with this matter. Thank you for your time."
LDA,4,0.9969626040625946,"ATTENTION DISPUTE DEPARTMENT XXXX, XXXX SOC SEC # XXXX DOB XX/XX/1994 ADDRESS XXXX XXXX XXXX, XXXX XXXX, FL XXXX ENHANCED RECOVERY CO XXXX XXXX Your company have violated FCRA 615 ( f ) ( 15 U.S.C. 1681m ( f ) ) ( f ) Prohibition on sale or transfer of debt caused by identity theft You have not responded to my request to provide me with an investigation report. 
I need this resolve, under the Fair Credit Reporting Act, these disputed items may not appear on my credit report if they can not be supported by any evidence ( 1 ) In general No person ( company ) shall sell, transfer for consideration, or place for collection a debt that such person has been notified under section 1681c-2 of this title has resulted from identity theft.

( 2 ) Applicability The prohibitions of this subsection shall apply to all persons collecting a debt described in paragraph ( 1 ) after the date of a notification under paragraph ( 1 ).

( 3 ) Rule of construction Nothing in this subsection shall be construed to prohibit -- ( A ) The repurchase of a debt in any case in which the assignee of the debt requires such repurchase because the debt has resulted from identity theft ; ( B ) the securitization of a debt or the pledging of a portfolio of debt as collateral in connection with a borrowing ; or ( C ) the transfer of debt as a result of a merger, acquisition, purchase and assumption transaction, or transfer of substantially all of the assets of an entity.

A person that furnishes information to any consumer reporting agency shall have in place reasonable procedures to respond to any notification that it receives from a consumer reporting agency under section 1681c-2 of this title relating to information resulting from identity theft, to prevent that person from refurnishing such blocked information. 
The reference items are listed below please take this matter very serious ENHANCED RECOVERY CO XXXX XXXX I have report your company to consumerfinance.gov As a form of record and I am prepare to sue your company Example In re XXXX XXXX XXXX, XXXX Telephone Consumer Protection Act Litigation, Case No. XXXX, in the U.S. District Court for the Southern District of XXXX Stop collection proceedings against me Signatures on applications and accounts Investigators report XXXX, XXXX SOC SEC # XXXX DOB XX/XX/1994 ADDRESS XXXX XXXX XXXX, XXXX XXXX, FL XXXX"
LDA,4,0.9969278351628186,"XXXX XXXX, XXXX SOC SEC # XXXX DOB XX/XX/1987 ADDRESS XXXX XXXX XXXX, XXXX, FL XXXX ERC XXXX Your company have violated FCRA 615 ( f ) ( 15 U.S.C. 1681m ( f ) ) ( f ) Prohibition on sale or transfer of debt caused by identity theft You have not responded to my request to provide me with an investigation report.

I need this resolve, under the Fair Credit Reporting Act, these disputed items may not appear on my credit report if they can not be supported by any evidence ( 1 ) In general No person ( company ) shall sell, transfer for consideration, or place for collection a debt that such person has been notified under section 1681c-2 of this title has resulted from identity theft.

( 2 ) Applicability The prohibitions of this subsection shall apply to all persons collecting a debt described in paragraph ( 1 ) after the date of a notification under paragraph ( 1 ). 
( 3 ) Rule of construction Nothing in this subsection shall be construed to prohibit -- ( A ) The repurchase of a debt in any case in which the assignee of the debt requires such repurchase because the debt has resulted from identity theft ; ( B ) the securitization of a debt or the pledging of a portfolio of debt as collateral in connection with a borrowing ; or ( C ) the transfer of debt as a result of a merger, acquisition, purchase and assumption transaction, or transfer of substantially all of the assets of an entity.

A person that furnishes information to any consumer reporting agency shall have in place reasonable procedures to respond to any notification that it receives from a consumer reporting agency under section 1681c-2 of this title relating to information resulting from identity theft, to prevent that person from refurnishing such blocked information. 
The reference items are listed below please take this matter very serious ERC XXXX I have report your company to consumerfinance.gov As a form of record and I am prepare to sue your company Example In re XXXX XXXX XXXX, XXXX Telephone Consumer Protection Act Litigation, Case No. 11-MD-2295-JAH-BGS, in the U.S. District Court for the Southern District of California Stop collection proceedings against me Signatures on applications and accounts Investigators report XXXX XXXX, XXXX SOC SEC # XXXX DOB XX/XX/1987 ADDRESS XXXX XXXX XXXX, XXXX, FL XXXX"
LDA,4,0.9967919481978574,"XXXX, XXXX XXXX SOC SEC # XXXX DOB XXXX/XXXX/XXXX ADDRESS XXXX XXXX XXXX XXXX, XXXX XXXX, FL XXXX Todays date : XXXX/XXXX/XXXX Your company have violated FCRA 615 ( f ) ( 15 U.S.C. XX/XX/XXXXm ( f ) ) ( f ) Prohibition on sale or transfer of debt caused by identity theft You have not responded to my request to provide me with an investigation report. 
I need this resolve, under the Fair Credit Reporting Act, these disputed items may not appear on my credit report if they can not be supported by any evidence ( 1 ) In general No person ( company ) shall sell, transfer for consideration, or place for collection a debt that such person has been notified under section XX/XX/XXXXc-2 of this title has resulted from identity theft. 
( 2 ) Applicability The prohibitions of this subsection shall apply to all persons collecting a debt described in paragraph ( 1 ) after the date of a notification under paragraph ( 1 ). 
( 3 ) Rule of construction Nothing in this subsection shall be construed to prohibit -- ( A ) The repurchase of a debt in any case in which the assignee of the debt requires such repurchase because the debt has resulted from identity theft ; ( B ) the securitization of a debt or the pledging of a portfolio of debt as collateral in connection with a borrowing ; or ( C ) the transfer of debt as a result of a merger, acquisition, purchase and assumption transaction, or transfer of substantially all of the assets of an entity. 
A person that furnishes information to any consumer reporting agency shall have in place reasonable procedures to respond to any notification that it receives from a consumer reporting agency under section XX/XX/XXXXc-2 of this title relating to information resulting from identity theft, to prevent that person from refurnishing such blocked information. 
The reference items are listed below please take this matter very serious ENHANCED RECOVERY CO XXXX I have report your company to consumerfinance.gov As a form of record and I am prepare to sue your company Example In re XXXX XXXX XXXX XXXX XXXX Telephone Consumer Protection Act Litigation, Case No. XXXX, in the XXXX Stop collection proceedings against me Signatures on applications and accounts Investigators report XXXX, XXXX XXXX SOC SEC # XXXX DOB XXXX/XXXX/XXXX ADDRESS XXXX XXXX XXXX XXXX, XXXX XXXXXXXX XXXX"
LDA,5,0.997198917498385,"XXXX XXXX XXXX XXXX XXXX XXXX, GA XXXX ENHANCED RECOVERY CO L XXXX XXXX XXXX XXXX, FL XXXX ( XXXX ) XXXX RE : Account # XXXX To Whom It May Concern : This letter is being sent to you in response to notices sent to me from your company and more importantly, due to your erroneous reporting to the Credit Bureau { s }, the highly negative impact on my personal credit report. Please be advised that this is not a refusal to pay, but a notice sent pursuant to the Fair Debt Collection Practices Act, 15 USC 1692g Sec. 809 { b } that your claim is disputed and validation is requested.

This is NOT a request for verification or proof of my mailing address, but a request for VALIDATION made pursuant to the above-named Title and Section. I respectfully request that your offices provide me with competent evidence that I have any legal obligation to pay you. 

Please provide me with the following : What the money you say I owe is for : Explain and show me how you calculated what you say I owe : Provide me with copies of any papers that show I agreed to pay what you say I owe : Provide a verification or copy of any judgment if applicable : Identify the original creditor : Prove the Statute of Limitations has not expired on this account : Show me the you are licensed to collect in my state : Provide me with your license numbers and Registered Agent or Agent of Service : At this time, I will also inform you that if your offices have reported invalidated information to any of the 3 major Credit Bureaus { Experian, Equifax or TransUnion } this action might constitute fraud under both Federal and State Laws. Due to this fact, if any negative mark is found on any of my credit reports by your company or the company that you represent, I will not hesitate to bring legal action against you for the following : Violation of the Fair Credit Reporting Act Violation of the Fair Debt Collection Practices Act Defamation of Character If your offices can provide proper documentation as requested in the following Declaration, I will require at least 30 days to investigate this information and during such time all collection activity must cease and desist.

Also, during this validation period, if any action is taken which could be considered detrimental to any of my credit reports, I will consult with my legal counsel for suit. This includes listing any information with a credit reporting repository that could be inaccurate or invalidated or verifying an account as accurate, when in fact there is no provided proof that it is accurate.

If your company fails to respond to this validation request within 30 days from the date of your receipt, all references to this account must be deleted and completely removed from my credit report and a copy of such deletion { to any/all of the 3 major credit reporting bureaus : Equifax, Experian and TransUnion } request shall be sent to me immediately.

I would also like to request, in writing, that no telephone contact be made by your company to my home or my place of employment. If your offices attempt telephone communication with me, including but not limited to computer generated calls and calls or correspondence sent to or with any third parties, it will be considered harassment and I will have no choice but to file suit. All future communications with me MUST be done in writing and sent to the address noted in this letter by USPS.

It would be advisable that you assure your records are in order before I am forced to take legal action against your company and your client. This is an attempt to correct your records, any information obtained shall be used for that purpose. 


Best Regards, XXXX XXXX Please remove this account from my credit and do not contact me by phone only contact me by mail or by CFPB portal."
LDA,5,0.9966517939569983,"To : XXXX XXXX XXXX XXXX XXXX XXXX XXXX, FL XXXX ( XXXX ) XXXX From : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX PA XXXX RE : Debt Validation Request Per Section 809 ( FDCPA ) To Whom It May Concern please be advised that this is not a refusal to pay, but a notice that your claim is being disputed and validation is requested. Under the Fair Debt collection Practices Act ( FDCPA ), I have the right to request validation of the debt that you say I owe you. I am requesting proof that I am indeed the party you are asking to pay this debt, and is there some contractual obligation that is binding on me to pay this alleged debt. Prove to me beyond a reasonable doubt that I have a signed contract with your company XXXX XXXX XXXX agreeing to pay this assigned debt. Please prove that you are the original creditor. This is NOT a request for verification or proof of my mailing address, nor is it a request for ownership of legal rights to a debt but a request for VALIDATION made pursuant to 15 USC 1692g Sec. 809 ( b ) of the FDCPA. I hereby order you and respectfully request that your offices provide me with competent evidence that I have any legal obligation to pay you. At this time I will also inform you that if your offices have or continue to report invalidated information to any of the three major credit bureaus ( XXXX, XXXX, XXXX XXXX ), this action might constitute fraud under both federal and state laws. Due to this fact, if any negative mark is found or continues to report on any of my credit reports by your company or the company you represent, I will not hesitate in bringing legal action against you and your client for the following : Violation of the Fair Debt Collection Practices Act and Defamation of Character. I am sure your legal staff will agree that non-compliance with this request could put your company in serious legal trouble with the FTC and other state or federal agencies. If your offices are able to provide the proper documentation as requested in the following declaration, I will require 30 days to investigate this information and during such time all collection activity must cease and desist. Also, during this validation period, if any action is taken which could be considered detrimental to any of my credit reports, I will consult with my legal counsel for a civil suit. This includes any listing of any information to a credit-reporting repository that could be inaccurate or invalidated. If your offices fail to respond to this validation request and fail to prove that you are the original creditor with proof of a signed agreement within 30 days from the date of your receipt, all references to this account must be deleted and completely removed from my credit report and a copy of such deletion request shall be sent to me immediately. It would be advisable that you and your client assure that your records are in order before I am forced to take legal action. Regards XXXX XXXX XXXX cc Federal Trade Commission XXXX XXXX XXXX XXXX XXXX XXXX"
LDA,5,0.9874254133626111,"As a concerned Consumer, I recently pulled my credit report and was in total shock to find that ERC has placed an alleged debt on my profile. ERC has communicated false claims and information with the credit reporting agencies without my knowledge. ERC has received payment from through deception and misrepresentation. I have not done any business with ERC previously and would have never authorized ERC to place derogatory information on my credit report to intentionally hurt, harm and cause damage against me as Creditor/Consumer. This action has also caused me to be denied credit extension harming my chances in the pursuit of happiness for me and my family."
